,tweets,id,language,len,date,source,likes,retweets,sentiment
89,Will someone please explain to the Fake News New York Times (ALL THE NEWS THAT’S NOT FIT TO PRINT) that the Democra… https://t.co/IF2pBg6at1,1243564774182567936,en,140,2020-03-27 15:45:21,Twitter for iPhone,97848,25075,-0.1878787878787879
90,We have just purchased many Ventilators from some wonderful companies. Names and numbers will be announced later today!,1243561301768581120,en,119,2020-03-27 15:31:33,Twitter for iPhone,137496,23853,0.5
91,Invoke “P” means Defense Production Act!,1243560795415470080,en,40,2020-03-27 15:29:32,Twitter for iPhone,84148,16153,0.0
92,"General Motors MUST immediately open their stupidly abandoned Lordstown plant in Ohio, or some other plant, and STA… https://t.co/5XsRz2sK8Q",1243559373395410957,en,140,2020-03-27 15:23:53,Twitter for iPhone,133372,31886,-0.21874999999999997
93,"As usual with “this” General Motors, things just never seem to work out. They said they were going to give us 40,00… https://t.co/yBYlLfv8KS",1243557418556162050,en,140,2020-03-27 15:16:07,Twitter for iPhone,101711,25215,-0.09999999999999999
94,"Thank you Byron. Many polls are much better than this. If it is the Fake News @washingtonpost, add 10 points! https://t.co/H5kBKNukT5",1243545579063595008,en,133,2020-03-27 14:29:04,Twitter for iPhone,41961,10694,0.16666666666666666
95,"By empowering the Radical Left Democrats, do nothing Kentucky politician @RepThomasMassie is making their War on th… https://t.co/1XgyVA4ZOF",1243541556424048643,en,140,2020-03-27 14:13:05,Twitter for iPhone,58894,14967,0.0
96,...&amp; costly. Workers &amp; small businesses need money now in order to survive. Virus wasn’t their fault. It is “HELL”… https://t.co/B4qko8ZznC,1243534445367492608,en,147,2020-03-27 13:44:50,Twitter for iPhone,58512,15171,-0.25
97,"Looks like a third rate Grandstander named @RepThomasMassie, a Congressman from, unfortunately, a truly GREAT State… https://t.co/TamQtDjVWo",1243534441772974081,en,140,2020-03-27 13:44:49,Twitter for iPhone,78067,19312,0.10000000000000002
98,Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that i… https://t.co/vjokn9vxwH,1243407157321560071,en,140,2020-03-27 05:19:02,Twitter for iPhone,336618,51426,0.855
99,The world is at war with a hidden enemy. WE WILL WIN! https://t.co/QLceNWcL6Z,1243324360523493378,en,77,2020-03-26 23:50:02,Twitter for iPhone,115908,28951,0.3166666666666667
100,Our great Oil &amp; Gas industry is under under seige after having one of the best years in recorded history. It will g… https://t.co/mqjJonKnk2,1243313399284498434,en,144,2020-03-26 23:06:28,Twitter for iPhone,152944,29224,0.9
101,"RT @WhiteHouse: Thank you to the American People for continuing to practice social distancing. 

By staying home, you are saving lives. htt…",1243312056805318656,en,140,2020-03-26 23:01:08,Twitter for iPhone,0,12184,0.016666666666666666
102,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/Z8tK225cN6,1243288552697401344,en,88,2020-03-26 21:27:44,Twitter for iPhone,0,8563,0.13636363636363635
103,Will be going out in 10 minutes for the press conference.,1243280878991785986,en,57,2020-03-26 20:57:15,Twitter for iPhone,147053,17038,0.0
104,"RT @MLB: Even though we’re apart, we can come together. #OpeningDayAtHome https://t.co/1x9VCifRje",1243279182160891917,en,97,2020-03-26 20:50:30,Twitter for iPhone,0,13499,0.0
105,I will be doing a News Conference live from the @WhiteHouse at 5:00 P.M. (Eastern) to discuss the mtg of the G20 Le… https://t.co/fAerNMfe4u,1243200193593565185,en,140,2020-03-26 15:36:38,Twitter for iPhone,116615,25387,0.13636363636363635
106,96-0 in the United States Senate. Congratulations AMERICA!,1243037202793316354,en,58,2020-03-26 04:48:58,Twitter for iPhone,269971,35568,0.0
107,https://t.co/U6l7jrRQMW,1242956568842457095,und,23,2020-03-25 23:28:33,Twitter for iPhone,55861,14114,0.0
108,"....I have been packed all day with meetings, I have no time for stupidity. We’re working around the clock to KEEP AMERICA SAFE!",1242929614344859649,en,128,2020-03-25 21:41:27,Twitter for iPhone,188540,36322,-0.04999999999999999
109,"I hear that Fake News CNN just reported that I am isolated in the White House, wondering out loud, “when will life… https://t.co/2fhXijiG8d",1242929613262725122,en,139,2020-03-25 21:41:26,Twitter for iPhone,321004,66486,-0.13333333333333333
110,The LameStream Media is the dominant force in trying to get me to keep our Country closed as long as possible in th… https://t.co/qjBpPaXA1O,1242905328209080331,en,140,2020-03-25 20:04:56,Twitter for iPhone,228796,49344,-0.05000000000000001
111,Today is National #MedalofHonorDay. Join me in a #MomentofHonor to remember those who have earned our Nation's high… https://t.co/zWO57a6ERG,1242840063303659527,en,140,2020-03-25 15:45:36,Twitter for iPhone,74536,18771,0.16
112,"Congratulations to Prime Minister Abe of Japan, and the IOC, on their very wise decision to present the Olympics in… https://t.co/ONbCJO4kSP",1242827275080531969,en,140,2020-03-25 14:54:47,Twitter for iPhone,176995,26611,0.45499999999999996
113,"The four hospitals that we (FEMA) are building in NYC at the Javits Convention Center are moving along very well, a… https://t.co/focTX7213I",1242826052310794240,en,140,2020-03-25 14:49:56,Twitter for iPhone,100068,19614,0.05
114,"Just reported that the United States has done far more “testing” than any other nation, by far! In fact, over an ei… https://t.co/SP2m2wwqaW",1242824631230308353,en,140,2020-03-25 14:44:17,Twitter for iPhone,195990,35422,0.14375
115,"RT @DanScavino: #WashYourHands #SlowTheSpread
#COVIDー19🌐https://t.co/dtE12cgFxs https://t.co/nXLoa9kmNY",1242787188850528257,und,103,2020-03-25 12:15:30,Twitter for iPhone,0,11773,0.0
116,The Democrat’s Best &amp; Finest! https://t.co/xAmbP1Nnm0,1242787050337832961,en,57,2020-03-25 12:14:57,Twitter for iPhone,110448,30664,1.0
117,RT @LouDobbs: Gallup poll shows strong 60% approval of President @realDonaldTrump's handling of Virus Crisis:   Overall Job Approval Rating…,1242780646658932736,en,140,2020-03-25 11:49:30,Twitter for iPhone,0,13362,0.21666666666666665
118,RT @GreggJarrett: ‘Ya gotta admire the hypocrisy (and stupidity) of Adam Schiff. It’s okay for him to assert a government privilege. But wh…,1242780467474153473,en,140,2020-03-25 11:48:47,Twitter for iPhone,0,13636,-0.04999999999999999
119,RT @GreggJarrett: There’s a lot of mud on Robert Mueller’s face these days.  His mug is caked with it. https://t.co/wuV49lteTb,1242780313048276992,en,126,2020-03-25 11:48:11,Twitter for iPhone,0,9419,0.0
120,RT @GreggJarrett: Trump: Auto Manufacturers Given OK to Produce Much Needed Ventilators https://t.co/JedIlT1as9,1242780172077731840,en,111,2020-03-25 11:47:37,Twitter for iPhone,0,6766,0.35
121,"Gee, that’s too bad. Such a fine guy. Presidential aspirations you know! https://t.co/MgOWgAzMxs",1242780126674333697,en,96,2020-03-25 11:47:26,Twitter for iPhone,88524,19978,-0.09444444444444439
122,RT @GreggJarrett: Can We Trust China to Ban Wet Markets? https://t.co/qS5eCF3d0V,1242779532962271232,en,80,2020-03-25 11:45:05,Twitter for iPhone,0,6067,-0.1
123,RT @GreggJarrett: Mainstream Media Got Caught Changing Headline to Favor Dems…TWICE https://t.co/7qQECqdhnL,1242779479967137792,en,107,2020-03-25 11:44:52,Twitter for iPhone,0,8828,0.0
124,"RT @GreggJarrett: Why did NPR only pick the low end to “fact check” Trump, while ignoring the high end?  The Washington Post split the diff…",1242779443959074816,en,140,2020-03-25 11:44:43,Twitter for iPhone,0,4883,0.05333333333333334
125,This is really great news! I am so happy I can barely speak. He may have been a terrible presidential candidate and… https://t.co/KjxQ69Gioa,1242777450662244352,en,140,2020-03-25 11:36:48,Twitter for iPhone,158880,30025,0.16250000000000003
126,RT @BreitbartNews: The corporate media isn't going to like this. https://t.co/khWTEU5cDg,1242774319782117376,en,88,2020-03-25 11:24:22,Twitter for iPhone,0,10703,0.0
127,RT @BreitbartNews: Snowflakes are scampering to their crying circles and clutching their emotional support puppies over this. https://t.co/…,1242774212340789248,en,140,2020-03-25 11:23:56,Twitter for iPhone,0,8455,-0.1
128,RT @BreitbartNews: “We should never be reliant on a foreign country for the means of our own survival.” https://t.co/1LEJwvNK3X,1242773907452637185,en,127,2020-03-25 11:22:43,Twitter for iPhone,0,12863,0.2375
129,RT @BreitbartNews: The Establishment Media's Trump Derangement Syndrome hits a new low. https://t.co/lZYxxvprqX,1242773795498319874,en,111,2020-03-25 11:22:17,Twitter for iPhone,0,5063,0.06818181818181818
130,"RT @BreitbartNews: ""This crisis has underscored just how critical it is to have strong borders and a robust manufacturing sector."" https://…",1242773445106114560,en,140,2020-03-25 11:20:53,Twitter for iPhone,0,7304,0.21666666666666665
131,RT @LouDobbs: ⁦Real leadership: @realDonaldTrump⁩ says there's 'light at the end of the tunnel' as White House pitches $6T coronavirus stim…,1242772572489560064,en,140,2020-03-25 11:17:25,Twitter for iPhone,0,5497,0.20000000000000004
132,RT @Scavino45: 🚨BREAKING NEWS🚨https://t.co/iQdScq4OLS,1242772199322370049,en,53,2020-03-25 11:15:56,Twitter for iPhone,0,5466,0.0
133,"RT @thehill: #BREAKING: Overnight White House, Senate reach deal on $2 trillion stimulus package https://t.co/Ey1VPCFXT2 https://t.co/W84VA…",1242767118115971072,en,140,2020-03-25 10:55:45,Twitter for iPhone,0,4780,0.0
134,"RT @Uncle_Muscle: BREAKING OVERNIGHT

While you all slept, operation Trumpbux has been initiated. https://t.co/5QVj150IGd",1242766575335325696,en,121,2020-03-25 10:53:35,Twitter for iPhone,0,5335,0.0
135,I am working very hard to help New York City &amp; State. Dealing with both Mayor &amp; Governor and producing tremendously… https://t.co/z4F3rZZPgN,1242763375924391936,en,148,2020-03-25 10:40:52,Twitter for iPhone,163145,32352,0.030176767676767653
136,"RT @JPN_PMO: After his telephone talks with IOC President Bach, PM Abe spoke to the press and explained that the two have agreed that the T…",1242759484210139137,en,140,2020-03-25 10:25:25,Twitter for iPhone,0,9477,0.0
137,“President Trump’s decision to very early on restrict travel from China saved tens of thousands of lives.”  @LouDobbs @FoxBusiness,1242756708902076417,en,130,2020-03-25 10:14:23,Twitter for iPhone,108836,20735,0.13
